defect_type,num_candidates,total_candidate_area,candidate_area_ratio,largest_component_area,iou,dice,precision,recall,false_positive_rate
crack,47.2,174744.4,0.2476536281179138,61819.6,0.07883559637437267,0.14388922380138158,0.08029932654008938,0.8227692825263221,0.23441527691140643
glue_strip,49.0,153182.8,0.21709580498866213,37814.6,0.0014990611829583203,0.002985604527735921,0.0034533096548825526,0.0034914451276126116,0.25729806477138234
gray_stroke,50.2,194478.2,0.27562103174603175,66864.8,0.1297328497424258,0.22386959647989987,0.13231003528525126,0.9198238345831278,0.2510987556907123
oil,56.2,118131.8,0.1674203514739229,17899.4,0.13927621825314165,0.2436624607150008,0.2598035107243765,0.258607249145172,0.14976534435914673
rough,49.0,59609.8,0.0844810090702948,4024.4,0.003177725480327384,0.0063030238855763645,0.00849222928599411,0.0056679859416571814,0.09925890031788388
